date,content
2019,"@JonathanRKnight @BeyondMeat @dunkindonuts Eh... I don’t love how their breakfast sandwiches PERMANENTLY have lots and lots of pepper already in the eggs. That means if DD is the only place to get sustenance for miles, and you want a breakfast sandwich so bad, you either have to choke it down or you’re SHIT OUTTA LUCK!"
2019,@kfc @BeyondMeat Ahhhhhh I need this to come to Vermont!!
2018,Also I went grocery shopping for myself FINALLY and I’m super stoked about this new Beyond Meat I can use https://t.co/GjErbqAdzr
2018,@ThatKevinSmith @VeggieGrill @BeyondMeat The beyond crumble makes most excellent tacos 🌮 #vegan #hegan
2018,@lilith2u @cliffpotts @KatG4 @Nofearnofavors4 @bunkybun @KittyBhagat @haloefekti @peta Guess what the free food shelf had today ? The beyond meat burger patties! So I know I can buy them in town but get free samples - have too much to do today - will check in later
