date,content
2019,"If you're considering cutting meat from your diet to accomplish your ""Eat Healthier"" New Year's Resolution, watch this Meat MythCrusher. Meat and poultry are actually far more efficient sources of protein, iron and zinc than alternative protein sources. https://t.co/qIWvbq95Br"
2018,@FliesFacility discussing the demand of black soldier fly production for use as feed for aquaculture and poultry.  Room for more companies to produce this alternative protein @MSUEntomology @AAPMSU #insectsasfeed https://t.co/LE2p3U3t6l
2014,Go lean with bean protein. Beans are an affordable and healthy alternative to meats and are wonderfully filling.
