date,content
2021,"Want to be one of the first ever to try a brand-new type of #alternativeprotein?! Don’t miss your chance to taste-test @meatifoods Meati Crispy Cutlet at the Village Center tonight at 6 pm (and get some free swag 😎).

Learn more below 👇
https://t.co/AHQX3YOMCP"
2020,Need a #podcast recommendation for the weekend? Listen to my most recent episode where I discuss Alternative Proteins with @DairyCarrie Over a Beer. #agchat https://t.co/TNbUWvj25M
2020,"Are you an avid fitness goer that enjoys mouthwatering desserts? Kick up the protein with our healthier alternative, vegan and gluten-free
P.B. Oatmeal cookies.
.
Freshly made to order, handcrafted from scratch, and guilty free!

#WednesdayMotivation
#vegan #plantbased #dairyfree https://t.co/kqPALkfZHK"
