date,content
2021,Don't cheat this Halloween! Stock up on Cloud10 Super Treats! It is your favorite childhood snack transformed into a healthy alternative this sugar filled holiday! With 15grams of protein and 40% less sugar it will be sure to curb and candy cravings! https://t.co/3EYCyknUrs
2020,"Want a healthy alternative with a great taste? Is it
Mayo? No. It’s Hummus? 😬Heck yes. 

Another simple hack to clean up your act—replace mayo with protein-packed hummus on your next sandwich! 
.
.
Here’s just… https://t.co/AZhdVqmkN0"
