user,date,content
"{'username': 'debweinstein', 'id': 50718249, 'displayname': 'Deborah Weinstein', 'description': '#PR Pro @SO_pr Strategic Objectives IABC/Toronto PR Agency of the Year 2021 🎉🏆🥇Former journo, culture-vulture, love info, travel & friends', 'rawDescription': '#PR Pro @SO_pr Strategic Objectives IABC/Toronto PR Agency of the Year 2021 🎉🏆🥇Former journo, culture-vulture, love info, travel & friends', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 6, 25, 18, 4, 39, tzinfo=datetime.timezone.utc), 'followersCount': 9864, 'friendsCount': 2778, 'statusesCount': 41937, 'favouritesCount': 397, 'listedCount': 1254, 'mediaCount': 5769, 'location': 'Toronto, Canada', 'protected': False, 'linkUrl': 'http://www.strategicobjectives.com', 'linkTcourl': 'https://t.co/LUS3Rj4hQU', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/730072646726111232/YBwUPKh9_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/50718249/1469471875', 'label': None}",2019,U. S. Meat Lobby Lets Loose w/ Savage PR Campaign Attacking Plant Based Burgers 🙄 #PRfail #pr #health  https://t.co/Fy4zZjGn0I
"{'username': 'CarperDonovan', 'id': 1200722718590717957, 'displayname': 'Donovan Carper', 'description': 'I’m a masters prepared nurse with a passion for preventive health research and interventions', 'rawDescription': 'I’m a masters prepared nurse with a passion for preventive health research and interventions', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2019, 11, 30, 10, 26, 32, tzinfo=datetime.timezone.utc), 'followersCount': 9, 'friendsCount': 45, 'statusesCount': 444, 'favouritesCount': 73, 'listedCount': 0, 'mediaCount': 1, 'location': 'United States', 'protected': False, 'linkUrl': 'http://donovancarper.com', 'linkTcourl': 'https://t.co/d4FuhP7DNY', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1200723334201257984/q0vV2QEQ_normal.jpg', 'profileBannerUrl': None, 'label': None}",2019,@TaysieMai @Magazine3Vegan Yes ...would love to see my daughter go vegan or plant based she has skin flairs same as niece...these are apparently rare in tribes where meat is rare luxury according to book “the world before yesterday “
"{'username': 'CarperDonovan', 'id': 1200722718590717957, 'displayname': 'Donovan Carper', 'description': 'I’m a masters prepared nurse with a passion for preventive health research and interventions', 'rawDescription': 'I’m a masters prepared nurse with a passion for preventive health research and interventions', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2019, 11, 30, 10, 26, 32, tzinfo=datetime.timezone.utc), 'followersCount': 9, 'friendsCount': 45, 'statusesCount': 444, 'favouritesCount': 73, 'listedCount': 0, 'mediaCount': 1, 'location': 'United States', 'protected': False, 'linkUrl': 'http://donovancarper.com', 'linkTcourl': 'https://t.co/d4FuhP7DNY', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1200723334201257984/q0vV2QEQ_normal.jpg', 'profileBannerUrl': None, 'label': None}",2019,@VeganQueen4 I mostly avoid meat and honestly hate eating it.  Where I get stuck is at conferences where there are no good plant based meal options (just salads and cold cuts for example). These are rare for me but do present a challenge
"{'username': 'PrincessGlennys', 'id': 522626255, 'displayname': 'Prin 🇨🇲', 'description': 'fearfully & wonderfully made', 'rawDescription': 'fearfully & wonderfully made', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2012, 3, 12, 22, 12, 54, tzinfo=datetime.timezone.utc), 'followersCount': 1092, 'friendsCount': 607, 'statusesCount': 60824, 'favouritesCount': 78, 'listedCount': 6, 'mediaCount': 898, 'location': '', 'protected': False, 'linkUrl': 'http://thejordanmcnairfoundation.com', 'linkTcourl': 'https://t.co/66yO50AU6M', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1424907949139546112/YNSJHxwK_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/522626255/1583393146', 'label': None}",2019,"I really wanna eat plant based for the next 6 months. I believe it so I can do it. all you meat eaters, please dont try to convince me otherwise!!"
"{'username': 'jmwensley', 'id': 746383081779662848, 'displayname': 'Matthew 🇨🇦🧡', 'description': 'Red Tory. Amateur photog, tweets include Ketogenic diet, politics, photography and cats', 'rawDescription': 'Red Tory. Amateur photog, tweets include Ketogenic diet, politics, photography and cats', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2016, 6, 24, 16, 42, 48, tzinfo=datetime.timezone.utc), 'followersCount': 890, 'friendsCount': 1378, 'statusesCount': 79563, 'favouritesCount': 106555, 'listedCount': 15, 'mediaCount': 835, 'location': 'Toronto, Ontario', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/746584247012569088/11g54oXo_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/746383081779662848/1585629915', 'label': None}",2019,Eat meat and avoid deficits in nutrition. :  India Shows Why the Global Shift to Plant-Based Diets Is Dangerous https://t.co/bqZRMs4cnB via @ozy
"{'username': 'jacobckurtz', 'id': 2597148182, 'displayname': 'dolores abernathy can step on my throat', 'description': 'public montessori guide and cat dad he/him', 'rawDescription': 'public montessori guide and cat dad he/him', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2014, 7, 1, 0, 47, 34, tzinfo=datetime.timezone.utc), 'followersCount': 590, 'friendsCount': 872, 'statusesCount': 11918, 'favouritesCount': 52855, 'listedCount': 3, 'mediaCount': 732, 'location': 'Detroit, MI', 'protected': False, 'linkUrl': 'https://linktr.ee/jckurtzy', 'linkTcourl': 'https://t.co/w2Q3TEn1OG', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1374190125480038400/Zc9iiFT2_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2597148182/1606667995', 'label': None}",2019,My family and I celebrated our first meatless Thanksgiving today! Big shout out to my mom for being open and willing to change up traditions. This whole holiday we have had some solid conversation about eating less meat and moving to plant-based diets.
"{'username': 'Damo_Seayn3D', 'id': 1969392528, 'displayname': 'damo aka frank seaynatra', 'description': '* Christ Representer/Creative * @trackstarz is the team * Host of the @godeafpodcast 🎧 * 𝐆𝐨𝐝 𝐓𝐡𝐞 𝐅𝐚𝐭𝐡𝐞𝐫 𝐀𝐩𝐩𝐚𝐫𝐞𝐥 brand ambassador', 'rawDescription': '* Christ Representer/Creative * @trackstarz is the team * Host of the @godeafpodcast 🎧 * 𝐆𝐨𝐝 𝐓𝐡𝐞 𝐅𝐚𝐭𝐡𝐞𝐫 𝐀𝐩𝐩𝐚𝐫𝐞𝐥 brand ambassador', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2013, 10, 18, 19, 16, 43, tzinfo=datetime.timezone.utc), 'followersCount': 726, 'friendsCount': 2084, 'statusesCount': 20881, 'favouritesCount': 29943, 'listedCount': 10, 'mediaCount': 5707, 'location': 'DMV', 'protected': False, 'linkUrl': 'https://linktr.ee/DamienSeay', 'linkTcourl': 'https://t.co/ClU2D6WyYp', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1433067643628630023/lHv2Xdh4_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1969392528/1585663811', 'label': None}",2019,“Plant based meats are good. Meat based meats are better.” #Wisdomisms @WisdomFOX5 LoL 😂 #GoodDayDC
"{'username': 'orlamwilson', 'id': 322151127, 'displayname': 'Órla Wilson', 'description': 'Teaching Prof. in Materials Science and Engineering at JHU, Mom, runner, #T1D and mom of a #T1D. #OpenAPS user, tweets are my own.', 'rawDescription': 'Teaching Prof. in Materials Science and Engineering at JHU, Mom, runner, #T1D and mom of a #T1D. #OpenAPS user, tweets are my own.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2011, 6, 22, 18, 23, 24, tzinfo=datetime.timezone.utc), 'followersCount': 523, 'friendsCount': 1092, 'statusesCount': 3981, 'favouritesCount': 13713, 'listedCount': 10, 'mediaCount': 449, 'location': 'Baltimore, MD', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1284338232998744065/b3ff9_fH_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/322151127/1482266124', 'label': None}",2019,@cadiulus Where do you recommend starting with a plant-based keto? I've tried keto over and over but I just can't do the meat (after years of being vegetarian). Am Keen to try a more plant based diet but don't want all the carbs!!!
"{'username': 'jaywhosthat', 'id': 386716979, 'displayname': 'Jay', 'description': 'Just a kid from Costonia. Corinthians5:17', 'rawDescription': 'Just a kid from Costonia. Corinthians5:17', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2011, 10, 7, 19, 29, 29, tzinfo=datetime.timezone.utc), 'followersCount': 550, 'friendsCount': 337, 'statusesCount': 25351, 'favouritesCount': 5979, 'listedCount': 2, 'mediaCount': 514, 'location': '755 s jason st', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1355215736910671872/7N6NDe1W_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/386716979/1631496520', 'label': None}",2019,Plant based imitation meat is gas don’t @ me 🤤 shits expensive tho
"{'username': 'Boil_Taylor', 'id': 1056360608487129089, 'displayname': 'Taylor', 'description': '| 🦅CU ‘21 | 🏳️\u200d🌈 | ☕️tea enthusiast | 🗳Are you registered to vote?', 'rawDescription': '| 🦅CU ‘21 | 🏳️\u200d🌈 | ☕️tea enthusiast | 🗳Are you registered to vote?', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2018, 10, 28, 1, 42, 50, tzinfo=datetime.timezone.utc), 'followersCount': 67, 'friendsCount': 422, 'statusesCount': 1192, 'favouritesCount': 1855, 'listedCount': 0, 'mediaCount': 29, 'location': 'Pennsylvania, USA', 'protected': False, 'linkUrl': 'https://www.youtube.com/channel/UCcgz7_JMzWFzGVi75xo7qUw', 'linkTcourl': 'https://t.co/cDR87VZpQY', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1365866982684430337/uvIxc71A_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1056360608487129089/1567733673', 'label': None}",2019,"@sydneyannaleese @sportsguymarv They never advertised it as vegan, simply as a plant based alternative to a meat patty, so...🤷🏼‍♀️"
