user,date,content
"{'username': 'BamaTrolley', 'id': 704005892233162752, 'displayname': 'E.Tilley - 🥓President of The Bacon Coalition🥓', 'description': 'Reformed according to Sproul. US Army veteran. A depraved wretch set free. Married. Hard Tacomentarian. 🍴🌮🍴African Irishman. Troller of trolls.', 'rawDescription': 'Reformed according to Sproul. US Army veteran. A depraved wretch set free. Married. Hard Tacomentarian. 🍴🌮🍴African Irishman. Troller of trolls.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2016, 2, 28, 18, 10, 59, tzinfo=datetime.timezone.utc), 'followersCount': 523, 'friendsCount': 489, 'statusesCount': 15185, 'favouritesCount': 8739, 'listedCount': 2, 'mediaCount': 3915, 'location': 'Maine, USA', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1282769113329340418/oGeh-dCH_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/704005892233162752/1623855623', 'label': None}",2021,@Scott0020 @JesusMetal1689 We have these things called farm animals.   Plant based meat is what my meat eats.
"{'username': 'Chester07752238', 'id': 1021093211866005507, 'displayname': 'Chester Copperpot', 'description': 'Freemen need no guardians. Formerly Bitcoinomo Hodlerectus now Bitcoinomo Hodlerapian; Partaker of the Bitcoin epiphany and cognitive renaissance🖕😘🖕', 'rawDescription': 'Freemen need no guardians. Formerly Bitcoinomo Hodlerectus now Bitcoinomo Hodlerapian; Partaker of the Bitcoin epiphany and cognitive renaissance🖕😘🖕', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2018, 7, 22, 18, 2, 47, tzinfo=datetime.timezone.utc), 'followersCount': 89, 'friendsCount': 207, 'statusesCount': 2321, 'favouritesCount': 1488, 'listedCount': 3, 'mediaCount': 240, 'location': 'Maryland, USA', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1021100050016096256/aNKhmoKN_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1021093211866005507/1532284936', 'label': None}",2021,@MrHodl Not if you make the dough from meat based flour. Its like plant based meats but the opposite 😉
"{'username': 'morelli_steven', 'id': 4883064724, 'displayname': 'i saw that Ⓥ', 'description': 'I write stuff. I edit stuff.', 'rawDescription': 'I write stuff. I edit stuff.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2016, 2, 6, 20, 58, 1, tzinfo=datetime.timezone.utc), 'followersCount': 314, 'friendsCount': 2266, 'statusesCount': 2155, 'favouritesCount': 2585, 'listedCount': 2, 'mediaCount': 222, 'location': 'Central Pennsylvania', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1402991305144233995/rvrTSmVc_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/4883064724/1454793077', 'label': None}",2021,"@Emmyjewel @drdredel But meat is not our optimal diet. We are not lions. We are more like apes, which are about 98% plant-based."
"{'username': 'Chida_Gamer', 'id': 775420465560948736, 'displayname': 'Purple_Chida', 'description': 'I like video games, books, crochet, and all kinds of art; sometimes I write things.  Asexual, panromantic, non-binary.  Autistic, chronically ill.  She/They', 'rawDescription': 'I like video games, books, crochet, and all kinds of art; sometimes I write things.  Asexual, panromantic, non-binary.  Autistic, chronically ill.  She/They', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2016, 9, 12, 19, 47, tzinfo=datetime.timezone.utc), 'followersCount': 192, 'friendsCount': 270, 'statusesCount': 3773, 'favouritesCount': 151777, 'listedCount': 1, 'mediaCount': 346, 'location': 'Maryland, US', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/775421657720553472/tQbJ8Vrq_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/775420465560948736/1583789288', 'label': None}",2021,"@BrandonMcCall31 @ZuzuQueenOfMars I wish I didn't.  I'm not a meat eater by nature.  But my system can't handle plant based protein substitutes.  I know you want to believe otherwise, but not everyone can live on a vegan diet--it would kill me, literally."
"{'username': 'CaptainAsteroid', 'id': 123456183, 'displayname': 'Punmonster', 'description': 'Graphic Artist and blue alien enthusiast. Comms Open!', 'rawDescription': 'Graphic Artist and blue alien enthusiast. Comms Open!', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 3, 16, 4, 31, 34, tzinfo=datetime.timezone.utc), 'followersCount': 46, 'friendsCount': 55, 'statusesCount': 3428, 'favouritesCount': 4226, 'listedCount': 1, 'mediaCount': 1695, 'location': 'Maryland', 'protected': False, 'linkUrl': 'http://punmonster.tumblr.com', 'linkTcourl': 'http://t.co/Sbr25yVIjE', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/709508170838908928/-pC3aARr_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/123456183/1457995187', 'label': None}",2021,"@shinclamentine @zeldawilliams in digimon, they grow it
in one example at least, its a plant based digimon growing meat on a meat farm"
"{'username': 'meganpoinski', 'id': 15912586, 'displayname': 'Megan Poinski', 'description': 'Senior reporter @fooddive. Former @washingtonpost, @WashTimesLocal, @SMPAGWU, @mdreporter, @VIDailyNews. she/her', 'rawDescription': 'Senior reporter @fooddive. Former @washingtonpost, @WashTimesLocal, @SMPAGWU, @mdreporter, @VIDailyNews. she/her', 'descriptionUrls': None, 'verified': True, 'created': datetime.datetime(2008, 8, 20, 2, 5, 56, tzinfo=datetime.timezone.utc), 'followersCount': 1761, 'friendsCount': 1397, 'statusesCount': 1924, 'favouritesCount': 135, 'listedCount': 78, 'mediaCount': 97, 'location': 'Maryland', 'protected': False, 'linkUrl': 'https://www.fooddive.com/', 'linkTcourl': 'https://t.co/JOl6nXfsuR', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/728252706851147776/3hDM_UHX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/15912586/1440393778', 'label': None}",2021,There's been talk about using cultivated fat to make plant-based meat more appealing for a while. @MissionBarns and @silvasausageco have a partnership to do it -- and made a product on a trial run. https://t.co/L7Qmh8qO8Z
"{'username': 'ddoorn', 'id': 19625943, 'displayname': 'Don Doornbos', 'description': 'Progressive: concerns over the disconnect betw Americans & politicians who are supposed to serve us. Envir., wellness, cycling, guitar. #DontFrackNY #UniteBlue!', 'rawDescription': 'Progressive: concerns over the disconnect betw Americans & politicians who are supposed to serve us. Envir., wellness, cycling, guitar. #DontFrackNY #UniteBlue!', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 1, 28, 0, 2, 26, tzinfo=datetime.timezone.utc), 'followersCount': 2873, 'friendsCount': 3405, 'statusesCount': 76162, 'favouritesCount': 13574, 'listedCount': 86, 'mediaCount': 1486, 'location': 'Binghamton, NY', 'protected': False, 'linkUrl': 'http://my.sparkpeople.com/DDOORN', 'linkTcourl': 'http://t.co/zsHI5e0sRq', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/378800000445667496/db7cc165f7688c2ac5d058d3b38b8c47_normal.png', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/19625943/1365797116', 'label': None}",2021,The future of cultured and plant-based meat - Los Angeles Times https://t.co/0giODslBZk
"{'username': 'lakotadlustig', 'id': 868067922, 'displayname': 'lakota 🌿', 'description': 'running for office: @lakotaformayor\n\n\n\nco-founder: @eadinfoods', 'rawDescription': 'running for office: @lakotaformayor\n\n\n\nco-founder: @eadinfoods', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2012, 10, 8, 14, 21, 59, tzinfo=datetime.timezone.utc), 'followersCount': 1064, 'friendsCount': 660, 'statusesCount': 46106, 'favouritesCount': 95488, 'listedCount': 21, 'mediaCount': 2890, 'location': 'he/him', 'protected': False, 'linkUrl': 'https://neighborsinneed518.org', 'linkTcourl': 'https://t.co/pjf0EdqxN1', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1433149786077675526/lDnZQ-xw_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/868067922/1630524592', 'label': None}",2021,"My roommate told me someone at his job stopped being vegan for Popeye's chicken and I was like oh so she was just doing a plant based diet then?

Because like what the hell man how do you claim to have any morals or standards at all if Popeye's is what makes you eat meat. Insane."
